"accession","geo_accession","sample_median","sample_iqr","median_robust_z","iqr_robust_z","missing_values","non_finite_values","independent_failure_metrics","technical_outlier_candidate","automatic_exclusion"
"GSE44076","GSM1077765",3.57940856150568,3.54666981068122,-1.38394188803081,1.89553823724387,0,0,0,FALSE,FALSE
"GSE44076","GSM1077766",3.63734373410961,3.42527322922152,-0.320746476218475,0.665338086446854,0,0,0,FALSE,FALSE
"GSE44076","GSM1077767",3.63615752081565,3.400708736364,-0.342515230411778,0.416408154036892,0,0,0,FALSE,FALSE
"GSE44076","GSM1077768",3.71043181512602,3.50850249529707,1.02052703522964,1.50876097732009,0,0,0,FALSE,FALSE
"GSE44076","GSM1077769",3.6178578222735,3.47936644837306,-0.678341545465236,1.21350415139829,0,0,0,FALSE,FALSE
"GSE44076","GSM1077770",3.61133359693093,3.25015741013992,-0.798070651948949,-1.10923830154337,0,0,0,FALSE,FALSE
"GSE44076","GSM1077771",3.66929060868727,3.34155819077923,0.265525540349496,-0.183007490317755,0,0,0,FALSE,FALSE
"GSE44076","GSM1077772",3.64052383938161,3.51168939682759,-0.262386879063362,1.54105617621519,0,0,0,FALSE,FALSE
"GSE44076","GSM1077773",3.70100564956555,3.54988428668444,0.847543068419199,1.92811286839372,0,0,0,FALSE,FALSE
"GSE44076","GSM1077774",3.63790654756382,3.25684239544717,-0.310418023651073,-1.04149446696283,0,0,0,FALSE,FALSE
"GSE44076","GSM1077775",3.55625811457554,3.31132192866426,-1.80878655235588,-0.489413599667006,0,0,0,FALSE,FALSE
"GSE44076","GSM1077776",3.63106930181258,3.49337987935496,-0.435891513854373,1.35551247403661,0,0,0,FALSE,FALSE
"GSE44076","GSM1077777",3.73469964884892,3.44907055360417,1.46587738647828,0.906493740849059,0,0,0,FALSE,FALSE
"GSE44076","GSM1077778",3.69404717741664,3.32100553593554,0.719844895971766,-0.391282540438257,0,0,0,FALSE,FALSE
"GSE44076","GSM1077779",3.60582728436251,3.53649333680313,-0.899119565685318,1.79241260101203,0,0,0,FALSE,FALSE
"GSE44076","GSM1077780",3.62454159313626,3.54476798872161,-0.555684544622707,1.87626568744583,0,0,0,FALSE,FALSE
"GSE44076","GSM1077781",3.6999329993716,3.41804822273256,0.827858363715087,0.592121823143991,0,0,0,FALSE,FALSE
"GSE44076","GSM1077782",3.69655742115514,3.2899761743023,0.765911551258113,-0.705725705981766,0,0,0,FALSE,FALSE
"GSE44076","GSM1077783",3.59155582249181,3.3321462200741,-1.16102182814193,-0.278385857991012,0,0,0,FALSE,FALSE
"GSE44076","GSM1077784",3.62105526267232,3.4795030242984,-0.619663823301432,1.214888174918,0,0,0,FALSE,FALSE
"GSE44076","GSM1077785",3.62783865749378,3.54378505115304,-0.495178576662062,1.86630486375095,0,0,0,FALSE,FALSE
"GSE44076","GSM1077786",3.65706555358636,3.53429448538622,0.0411778443256117,1.77013003496162,0,0,0,FALSE,FALSE
"GSE44076","GSM1077787",3.7250910527203,3.35617834900465,1.28954555110528,-0.0348507577531159,0,0,0,FALSE,FALSE
"GSE44076","GSM1077788",3.6412636227102,3.42300458950247,-0.248810769675299,0.642348304601958,0,0,0,FALSE,FALSE
"GSE44076","GSM1077789",3.74428869456191,3.39619546716967,1.64185044304287,0.370671903668943,0,0,0,FALSE,FALSE
"GSE44076","GSM1077790",3.69337637985264,3.29672909378286,0.707534776570276,-0.637293444847134,0,0,0,FALSE,FALSE
"GSE44076","GSM1077791",3.60479212841896,3.43843875975862,-0.918116195888019,0.798754015110732,0,0,0,FALSE,FALSE
"GSE44076","GSM1077792",3.6391795351627,3.27262711005144,-0.287056833658911,-0.881536434759874,0,0,0,FALSE,FALSE
"GSE44076","GSM1077793",3.70639042688802,2.91387589383629,0.946361632092335,-4.51702431242301,0,0,0,FALSE,FALSE
"GSE44076","GSM1077794",3.58241130288198,3.30579082214624,-1.32883717856586,-0.545464338416999,0,0,0,FALSE,FALSE
"GSE44076","GSM1077795",3.69040714840878,3.4214977592611,0.653045023526838,0.627078494135516,0,0,0,FALSE,FALSE
"GSE44076","GSM1077796",3.71926996315213,3.27503756686961,1.182720017626,-0.857109516756506,0,0,0,FALSE,FALSE
"GSE44076","GSM1077797",3.65414464061703,3.55111636840391,-0.0124251938241338,1.94059845158608,0,0,0,FALSE,FALSE
"GSE44076","GSM1077798",3.64854359108802,3.51706503491754,-0.115212669772253,1.5955314399283,0,0,0,FALSE,FALSE
"GSE44076","GSM1077799",3.65415069141878,3.26453702613677,-0.0123141527350856,-0.96351915891996,0,0,0,FALSE,FALSE
"GSE44076","GSM1077800",3.68872729256276,3.32546073151769,0.622217204298466,-0.346134792362636,0,0,0,FALSE,FALSE
"GSE44076","GSM1077801",3.66195605767004,3.46945537273536,0.130925768937163,1.11306798921446,0,0,0,FALSE,FALSE
"GSE44076","GSM1077802",3.60971265540766,3.45462363576401,-0.827817306923943,0.962767174814676,0,0,0,FALSE,FALSE
"GSE44076","GSM1077803",3.62885738038837,3.47166028957129,-0.476483517016046,1.13541202058197,0,0,0,FALSE,FALSE
"GSE44076","GSM1077804",3.71588254666066,3.41971394296008,1.1205559554551,0.609001781792247,0,0,0,FALSE,FALSE
"GSE44076","GSM1077805",3.66898380917625,3.39953845350461,0.259895319228159,0.404548823792271,0,0,0,FALSE,FALSE
"GSE44076","GSM1077806",3.66939062504846,3.38588944714677,0.267360987307547,0.266233481813576,0,0,0,FALSE,FALSE
"GSE44076","GSM1077807",3.7087736740985,3.50992059090025,0.990097714777851,1.52313157494239,0,0,0,FALSE,FALSE
"GSE44076","GSM1077808",3.72869571361364,3.34814824434673,1.35569636676153,-0.116225668333791,0,0,0,FALSE,FALSE
"GSE44076","GSM1077809",3.66380292941186,3.54793621638221,0.164818574876133,1.90837165038943,0,0,0,FALSE,FALSE
"GSE44076","GSM1077810",3.6732149554123,3.17662212430605,0.337543060016394,-1.85442501630896,0,0,0,FALSE,FALSE
"GSE44076","GSM1077811",3.66993565820095,3.46833757353677,0.277363145253572,1.10174051420534,0,0,0,FALSE,FALSE
"GSE44076","GSM1077812",3.6527416093219,3.45227937665806,-0.0381728764246841,0.939011086537975,0,0,0,FALSE,FALSE
