geo_accession,sample_median,robust_z,outlier_candidate,automatic_exclusion
GSM1077650,3.732175,1.256586715227193,False,False
GSM1077651,3.6628,-0.041878425251476364,False,False
GSM1077652,3.6066,-1.0937521678806843,False,False
GSM1077653,3.72235,1.0726959764134616,False,False
GSM1077654,3.67185,0.12750693721817777,False,False
GSM1077655,3.6858,0.38860371141172484,False,False
GSM1077656,3.6445999999999996,-0.38252081165453333,False,False
GSM1077657,3.6646,-0.00818851890391708,False,False
GSM1077658,3.649425,-0.29221314602844356,False,False
GSM1077659,3.72065,1.0408777315296593,False,False
GSM1077660,3.71335,0.9042464446756902,False,False
GSM1077661,3.612475,-0.9837920568851919,False,False
GSM1077662,3.675575,0.19722632674297386,False,False
GSM1077663,3.6549750000000003,-0.1883359347901427,False,False
GSM1077664,3.666125,0.02035431841831672,False,False
GSM1077665,3.71875,1.0053161637183516,False,False
GSM1077666,3.6561250000000003,-0.16681182795698307,False,False
GSM1077667,3.648925,-0.3015714533472036,False,False
GSM1077668,3.691225,0.49014134582033153,False,False
GSM1077669,3.7369000000000003,1.345022719389534,False,False
GSM1077670,3.7257,1.1353966354491836,False,False
GSM1077671,3.63675,-0.5294462365591369,False,False
GSM1077672,3.6797500000000003,0.2753681928546723,False,False
GSM1077673,3.6809000000000003,0.29689229968783193,False,False
GSM1077674,3.69705,0.5991656260839412,False,False
GSM1077675,3.6822749999999997,0.3226276448144261,False,False
GSM1077676,3.6491499999999997,-0.29736021505376903,False,False
GSM1077677,3.6207,-0.8298479014915059,False,False
GSM1077678,3.709625,0.8345270551508858,False,False
GSM1077679,3.689,0.4484968782518237,False,False
GSM1077680,3.69015,0.47002098508498336,False,False
GSM1077681,3.6318,-0.6220934790149124,False,False
GSM1077682,3.66485,-0.0035093652445370785,False,False
GSM1077683,3.70775,0.799433402705515,False,False
GSM1077684,3.64225,-0.4265048560527186,False,False
GSM1077685,3.7144500000000003,0.9248347207769755,False,False
GSM1077686,3.64005,-0.4676814082552892,False,False
GSM1077687,3.7528,1.6426168921262634,False,False
GSM1077688,3.696025,0.5799810960804758,False,False
GSM1077689,3.70975,0.83686663198058,False,False
GSM1077690,3.6862250000000003,0.3965582726326816,False,False
GSM1077691,3.6496500000000003,-0.2880019077349924,False,False
GSM1077692,3.71775,0.986599549080823,False,False
GSM1077693,3.6731499999999997,0.15183853624696042,False,False
GSM1077694,3.7267,1.1541132500867204,False,False
GSM1077695,3.63385,-0.5837244190079814,False,False
GSM1077696,3.66195,-0.05778754769337335,False,False
GSM1077697,3.694175,0.5453553590010422,False,False
GSM1077698,3.7112000000000003,0.8640057232050024,False,False
GSM1077699,3.65175,-0.2486970169961871,False,False
GSM1077700,3.6672000000000002,0.04047467915366486,False,False
GSM1077701,3.659025,-0.1125336455081468,False,False
GSM1077702,3.70765,0.7975617412417664,False,False
GSM1077703,3.6691,0.0760362469649645,False,False
GSM1077704,3.68045,0.28846982310093794,False,False
GSM1077705,3.6586999999999996,-0.11861654526535492,False,False
GSM1077706,3.7269,1.1578565730142258,False,False
GSM1077707,3.6765,0.21453919528269066,False,False
GSM1077708,3.6685749999999997,0.06621002428025903,False,False
GSM1077709,3.666,0.018014741588622565,False,False
GSM1077710,3.72945,1.205583940339925,False,False
GSM1077711,3.5970500000000003,-1.27249583766909,False,False
GSM1077712,3.723175,1.0881371834894216,False,False
GSM1077713,3.6917,0.4990317377731544,False,False
GSM1077714,3.7351,1.3113328130419748,False,False
GSM1077715,3.690175,0.4704889004509205,False,False
GSM1077716,3.687025,0.41153156434270427,False,False
GSM1077717,3.736225,1.3323890045091973,False,False
GSM1077718,3.6809,0.2968922996878236,False,False
GSM1077719,3.68235,0.32403139091224586,False,False
GSM1077720,3.662775,-0.04234634061741353,False,False
