gene_symbol,reference_model,adjusted_model,unadjusted_log2fc,adjusted_log2fc,effect_difference,unadjusted_fdr,adjusted_fdr,effect_direction_agreement,reference_significant,adjusted_significant,significance_retained,lost_significance,gained_significance,changed_direction
CIAO2A,U0_unadjusted,U1_age_sex_adjusted,-0.875201529155119,-0.861659520259269,0.01354200889585,1.8521741415954198e-26,4.4488380922200996e-23,True,True,True,True,False,False,False
CLU,U0_unadjusted,U1_age_sex_adjusted,1.33474062846585,1.304036603273,-0.030704025192850093,2.04549040095075e-26,8.19435321660683e-23,True,True,True,True,False,False,False
SPAG9,U0_unadjusted,U1_age_sex_adjusted,-1.15598910499424,-1.1392176091074,0.016771495886839904,2.62380356765145e-26,6.12669699907325e-23,True,True,True,True,False,False,False
BAZ1B,U0_unadjusted,U1_age_sex_adjusted,0.51308578876461,0.521327970927474,0.008242182162863987,2.75212986422121e-26,6.37420212770023e-24,True,True,True,True,False,False,False
GON7,U0_unadjusted,U1_age_sex_adjusted,-0.665637276485504,-0.643219418785605,0.022417857699899013,3.05262599808129e-26,1.8801541595839499e-22,True,True,True,True,False,False,False
HSBP1,U0_unadjusted,U1_age_sex_adjusted,-0.541348150392607,-0.506017389339549,0.03533076105305799,3.49298510246659e-26,9.59824596593129e-22,True,True,True,True,False,False,False
IFT25,U0_unadjusted,U1_age_sex_adjusted,-0.60549526848524,-0.587336340380726,0.018158928104514027,4.2794793239006e-26,2.13725915909963e-22,True,True,True,True,False,False,False
FKBP10,U0_unadjusted,U1_age_sex_adjusted,1.30018822411021,1.26609089979828,-0.03409732431193002,4.58600532841771e-26,1.8801541595839499e-22,True,True,True,True,False,False,False
DUSP6,U0_unadjusted,U1_age_sex_adjusted,1.0109315133309,1.01437143849817,0.003439925167269875,4.9226308650785e-26,2.90319259491615e-23,True,True,True,True,False,False,False
PRRX1,U0_unadjusted,U1_age_sex_adjusted,1.35827917695481,1.30164585756587,-0.056633319388939896,6.328375109314869e-26,6.02517777911302e-22,True,True,True,True,False,False,False
TMEM126B,U0_unadjusted,U1_age_sex_adjusted,-0.571703323054114,-0.561554786926835,0.010148536127278951,6.90708104311833e-26,1.86210867711241e-22,True,True,True,True,False,False,False
GLG1,U0_unadjusted,U1_age_sex_adjusted,0.507187815609203,0.491142012930786,-0.016045802678416987,9.6856962751251e-26,3.2218436147326e-22,True,True,False,False,True,False,False
PHF5A,U0_unadjusted,U1_age_sex_adjusted,-0.604827906916153,-0.587051443615421,0.017776463300731904,9.95821257007882e-26,4.7552924909996595e-22,True,True,True,True,False,False,False
COX7A2,U0_unadjusted,U1_age_sex_adjusted,-0.400294998196052,-0.378267445017854,0.022027553178198045,1.03482805307157e-25,1.66178022619725e-21,True,False,False,False,False,False,False
ALKBH7,U0_unadjusted,U1_age_sex_adjusted,-0.477265374544651,-0.468052186534079,0.009213188010572027,1.06658621184283e-25,2.88205092509422e-22,True,False,False,False,False,False,False
LDB2,U0_unadjusted,U1_age_sex_adjusted,1.23925825695187,1.2079686461941,-0.03128961075777004,1.06658621184283e-25,4.1007094909068e-22,True,True,True,True,False,False,False
DPT,U0_unadjusted,U1_age_sex_adjusted,2.91139344430416,2.78309634706263,-0.12829709724152982,1.09304340736759e-25,1.08263230008921e-21,True,True,True,True,False,False,False
TXNDC9,U0_unadjusted,U1_age_sex_adjusted,-0.62819366765768,-0.608425530757628,0.01976813690005208,1.21260953046349e-25,6.78065887715033e-22,True,True,True,True,False,False,False
CEBPD,U0_unadjusted,U1_age_sex_adjusted,1.11631302616756,1.08883501461607,-0.0274780115514901,1.2402979353432601e-25,3.88044265752809e-22,True,True,True,True,False,False,False
MED11,U0_unadjusted,U1_age_sex_adjusted,-0.489894094781576,-0.475672001928521,0.01422209285305498,1.2965868701804901e-25,4.832919747836849e-22,True,False,False,False,False,False,False
