gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SYS1,,0.3026523673469388,0.0637502538587081,4.747469210361381,5.000861044039148e-06,1.054795549778502e-05,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYT1,,1.0085946530612215,0.1256553787856912,8.026673134155349,1.3320769265153516e-12,4.748688388101909e-12,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYT10,,-0.0537501224489793,0.0183783677006891,-2.9246407147988345,0.0044225653323332,0.0066882957845611,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT11,,0.4983975714285722,0.0496494214971714,10.038335924155056,7.190919541603496e-18,3.609678567680743e-17,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYT12,,-0.1309314693877552,0.0270095618667304,-4.8475969374769,4.567805389711198e-06,9.671057944896822e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT13,,-0.2612202040816314,0.0922044777401686,-2.8330533449551933,0.0052630938046661,0.0078830479893678,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT14,,-0.019699102040815,0.0193517180007833,-1.017951069771566,0.3110293991747352,0.3544409720066411,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT15,,-0.2425280816326531,0.0316244085280821,-7.669015577549557,5.180373227039253e-11,1.656049466803683e-10,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT16,,-0.062518448979592,0.0195554706028107,-3.196980029240825,0.0019816157418707,0.0031339782145709,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT17,,-0.4068887551020417,0.0927064354701082,-4.389002263313607,2.5147994896336337e-05,4.961328596272344e-05,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT2,,-0.0190732653061216,0.0320083452545204,-0.5958841406657218,0.5527190209192869,0.5932226695774083,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT3,,-0.2387800408163269,0.0382906139234202,-6.235994055720228,2.2856580892170687e-08,5.9533419998212015e-08,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT4,,-0.1115344897959178,0.0181795128728517,-6.135174829820508,2.468881789502808e-08,6.412155131923812e-08,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT5,,-0.0403131632653068,0.025443341287579,-1.5844288220504674,0.1163917596510859,0.1432884458655551,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT6,,-0.0224132448979585,0.0236311120171361,-0.9484634020483518,0.3453018146026513,0.3893028511389437,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT7,,0.2761759591836727,0.0473492496562986,5.832742043187462,3.39441291257059e-08,8.694957871027046e-08,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYT8,,-0.1305838775510195,0.0332299086163221,-3.9297091983839607,0.0001686078687961,0.0003035738838656,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYT9,,-0.0348951836734698,0.0261640393967416,-1.3337078095752892,0.1856409729251103,0.2204580630258903,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYTL1,,0.2656781224489775,0.1000489671227342,2.655480911892465,0.0088186912964293,0.0128125053249915,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYTL2,,-1.6211728367346998,0.090656392651515,-17.882609149985928,1.5003647151562031e-38,3.5575272947165754e-37,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYTL3,,0.0055121836734706,0.0327121681516343,0.1685056046398202,0.8664327984476801,0.8823276719497154,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYTL4,,-0.8782726734693873,0.0439263674946775,-19.99420219702451,7.609412026406154e-43,2.6342400905958756e-41,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYTL5,,-0.9908017551020408,0.0844472409101484,-11.73279013527808,8.473348362633952e-23,5.903130363137596e-22,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
