gene_symbol,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
ACE,2.551523,2.4769540816326523,2.4235137755102043,-0.07456891836734769,-0.05344030612244799,non_monotonic,0.15
ACE2,6.147938000000002,6.113972448979591,6.110876530612246,-0.03396555102041088,-0.0030959183673449076,non_monotonic,0.15
ACER1,2.2619559999999996,2.2117510204081627,2.1837836734693883,-0.050204979591836896,-0.02796734693877445,non_monotonic,0.15
ACER2,2.205958,2.153371428571428,2.180476530612246,-0.052586571428571816,0.02710510204081773,non_monotonic,0.15
ACER3,4.996961999999999,4.39573418367347,3.849647448979592,-0.6012278163265288,-0.546086734693878,monotonic_down,0.15
ACHE,3.1166260000000006,3.17591581632653,2.931216326530612,0.05928981632652963,-0.24469948979591827,non_monotonic,0.15
ACIN1,5.9186760000000005,6.1338479591836705,6.1272724489795936,0.21517195918367005,-0.006575510204076984,non_monotonic,0.15
ACLY,6.6431840000000015,6.949845918367349,7.699760204081633,0.3066619183673476,0.7499142857142838,monotonic_up,0.15
ACMSD,2.5363580000000003,2.492460204081633,2.5212867346938768,-0.04389779591836751,0.02882653061224394,non_monotonic,0.15
ACN9,7.3422420000000015,6.632044897959184,7.190393877551018,-0.7101971020408175,0.5583489795918339,adjacent_specific,0.15
ACO1,7.041961,7.002963265306125,6.9302933673469385,-0.0389977346938748,-0.07266989795918644,non_monotonic,0.15
ACO2,7.622713000000001,7.420510204081636,6.465250510204083,-0.20220279591836476,-0.9552596938775535,monotonic_down,0.15
ACOT11,3.485396,3.254168367346938,2.9353102040816332,-0.231227632653062,-0.3188581632653049,monotonic_down,0.15
ACOT12,2.397161,2.347882142857143,2.2976255102040817,-0.04927885714285729,-0.05025663265306113,non_monotonic,0.15
ACOT13,9.432694000000001,8.75160918367347,8.318807142857143,-0.681084816326532,-0.4328020408163269,monotonic_down,0.15
ACOT4,4.0113780000000006,3.4804479591836737,3.070477551020408,-0.5309300408163269,-0.4099704081632658,monotonic_down,0.15
ACOT6,2.0139079999999994,1.9997714285714288,2.0606693877551026,-0.01413657142857061,0.0608979591836738,non_monotonic,0.15
ACOT7,5.229883000000001,5.129999999999999,5.148671428571431,-0.09988300000000194,0.018671428571432003,non_monotonic,0.15
ACOT8,3.755438,3.5497688775510206,3.4765418367346914,-0.20566912244897928,-0.07322704081632914,non_monotonic,0.15
ACOT9,5.578205,5.766919387755102,6.592563265306125,0.18871438775510274,0.8256438775510224,monotonic_up,0.15
ACOX1,9.368682000000002,8.831095918367348,7.310434693877548,-0.5375860816326536,-1.5206612244897997,monotonic_down,0.15
ACOX2,5.382224000000001,5.380679591836736,5.348361224489795,-0.0015444081632649542,-0.03231836734694049,non_monotonic,0.15
ACOX3,5.795138000000001,5.942297959183671,5.6143010204081625,0.14715995918367053,-0.3279969387755086,non_monotonic,0.15
ACOXL,2.357782,2.3133112244897958,2.211199999999999,-0.044470775510204064,-0.10211122448979681,non_monotonic,0.15
ACP1,7.828650000000002,7.3817704081632645,8.271932142857146,-0.44687959183673787,0.8901617346938817,non_monotonic,0.15
ACP2,4.227882,4.059674489795917,3.8053377551020406,-0.1682075102040832,-0.2543367346938763,monotonic_down,0.15
ACP5,6.397895999999999,6.029367346938776,6.169352040816326,-0.3685286530612233,0.1399846938775502,non_monotonic,0.15
ACP6,5.695512,5.531767346938774,6.417842857142859,-0.16374465306122588,0.8860755102040851,non_monotonic,0.15
ACPL2,4.236805,4.128082653061225,4.719294897959182,-0.1087223469387757,0.5912122448979575,tumor_specific,0.15
ACPP,3.0485599999999993,3.0014193877551025,3.191613265306123,-0.04714061224489674,0.19019387755102057,non_monotonic,0.15
ACPT,2.8396920000000008,2.640852040816327,2.5886530612244893,-0.1988399591836738,-0.05219897959183761,non_monotonic,0.15
ACRBP,3.6951459999999994,3.5298214285714264,3.382971428571428,-0.16532457142857293,-0.14684999999999837,non_monotonic,0.15
ACRC,2.699448,2.580476530612244,2.478961224489796,-0.11897146938775593,-0.10151530612244786,non_monotonic,0.15
ACRV1,3.213152,3.085902040816328,2.888448979591836,-0.127249959183672,-0.19745306122449202,non_monotonic,0.15
ACSBG1,2.3251590000000006,2.2904811224489796,2.2487928571428575,-0.03467787755102103,-0.04168826530612213,non_monotonic,0.15
ACSBG2,2.3282899999999995,2.3079979591836732,2.3169714285714296,-0.020292040816326296,0.008973469387756339,non_monotonic,0.15
ACSF2,7.7779859999999985,7.16610918367347,5.684576530612246,-0.6118768163265287,-1.4815326530612234,monotonic_down,0.15
ACSF3,4.553506000000001,4.462775,4.419925,-0.09073100000000167,-0.04284999999999961,non_monotonic,0.15
ACSL1,4.700476000000002,5.175838265306123,5.342055102040815,0.4753622653061207,0.16621683673469256,monotonic_up,0.15
ACSL3,7.919673999999999,8.311802040816328,8.423861734693878,0.39212804081632946,0.11205969387754955,non_monotonic,0.15
