gene_symbol,raw_log2fc,raw_fdr,deposited_log2fc,deposited_fdr,comparison,raw_significant,deposited_significant,sign_agreement,conclusion_changed_materially
ACTN2,0.0009109134989309,0.960351565100552,-0.0002152040816327,0.9903332554872752,tumor_vs_healthy,False,False,False,True
IDUA,0.0016380440258161,0.961091053487437,-0.001260653061224,0.969712272226541,tumor_vs_healthy,False,False,False,True
CASKIN1,-0.0022257661613425,0.97428998984693,0.0021695102040806,0.9722005892418129,tumor_vs_healthy,False,False,False,True
LOC646813,-0.0007108880816941,0.977464340134782,0.0324530612244902,0.1203903357300211,tumor_vs_healthy,False,False,False,True
GPR20,0.0009908768441539,0.978106493628718,-0.0017253061224491,0.9633445905693324,tumor_vs_healthy,False,False,False,True
TTBK2,-0.0011179117717805,0.979702968327344,3.3959183673104576e-05,0.9992784591834052,tumor_vs_healthy,False,False,False,True
BRI3BP,0.0024154965891369,0.98199598263782,-0.2166906122448972,0.0075567773212321,tumor_vs_healthy,False,False,False,True
CENPT,0.0007836735709196,0.98647314765299,-0.0007568571428571,0.9876593743981656,tumor_vs_healthy,False,False,False,True
GRK6,0.000855281443421,0.986633608633535,-0.0001829795918357,0.9967115015219348,tumor_vs_healthy,False,False,False,True
RAP1GAP2,0.0006994753056934,0.98814157040927,-0.0005531224489798,0.9895587483074814,tumor_vs_healthy,False,False,False,True
HINT3,0.0008763309798736,0.988821097833075,-0.0006043673469386,0.9904592359227836,tumor_vs_healthy,False,False,False,True
TRAPPC5,0.0006548392656959,0.990659768709566,-0.0002012244897962,0.996703961978798,tumor_vs_healthy,False,False,False,True
FGD3,0.0005780383359015,0.992127708428662,-0.0003796122448984,0.9943784295798156,tumor_vs_healthy,False,False,False,True
HSD17B7P2,0.0002680264561947,0.993577148457043,-0.0009497346938771,0.975257646911352,tumor_vs_healthy,False,False,False,True
RAPGEF2,-0.0004205840711923,0.99509536620911,0.0027653061224492,0.9646855199207456,tumor_vs_healthy,False,False,False,True
HFM1,0.0001288383211273,0.995171873209047,-0.0001320408163261,0.9950423471024424,tumor_vs_healthy,False,False,False,True
BYSL,0.0002060661703691,0.995437783964845,-0.0014971836734689,0.9679005507386323,tumor_vs_healthy,False,False,False,True
KCNJ3,-0.0002058138624487,0.996026055834615,0.0003204489795916,0.9924134583938428,tumor_vs_healthy,False,False,False,True
CCR7,-0.000635783422382,0.997069931560799,0.0004543265306118,0.997792042709535,tumor_vs_healthy,False,False,False,True
CCDC90B,0.0002456415276981,0.997297620821997,-0.0004873469387769,0.9938391537170822,tumor_vs_healthy,False,False,False,True
AAMP,-0.0001637553242508,0.997494555558103,0.0012429387755101,0.9792891618910878,tumor_vs_healthy,False,False,False,True
TXNRD3,0.457900281491149,2.2827774034702697e-30,1.0001816326530606,2.30675018815863e-34,tumor_vs_adjacent_paired,False,True,True,True
SNRPG,0.743686216781937,1.2801505469231e-29,0.4268219387755083,1.7209679432860262e-23,tumor_vs_adjacent_paired,True,False,True,True
CTU2,0.822371328084533,3.94663449837361e-29,0.3017168367346947,1.0351831558687826e-10,tumor_vs_adjacent_paired,True,False,True,True
ADHFE1,-0.498711045201653,2.4926885973503e-28,-0.5003362244897964,2.060101194892252e-28,tumor_vs_adjacent_paired,False,True,True,True
MIA2,-0.760568734285628,4.49739926218289e-25,-0.0638785714285714,0.0721889277036311,tumor_vs_adjacent_paired,True,False,True,True
VPS35,0.514123653425216,2.28029364637229e-24,0.473557653061226,6.756013177874506e-20,tumor_vs_adjacent_paired,True,False,True,True
SLC35A1,-0.457835515883768,1.59682422252682e-23,-0.9062877551020394,1.3452750241499595e-20,tumor_vs_adjacent_paired,False,True,True,True
CHAF1B,0.783488316369062,1.6816847576675802e-23,0.3437877551020416,2.4826636402603672e-17,tumor_vs_adjacent_paired,True,False,True,True
RPL32,0.475245061067894,5.21568003072676e-23,0.8371275510204077,1.7386446105926277e-20,tumor_vs_adjacent_paired,False,True,True,True
CHEK2,0.450483891084148,1.10330667292737e-20,0.9784204081632656,2.6005093007561857e-26,tumor_vs_adjacent_paired,False,True,True,True
RBL1,0.499864037108101,4.26031698000427e-20,0.5003316326530611,7.33525774888951e-20,tumor_vs_adjacent_paired,False,True,True,True
ZNF44,-0.391001678261131,1.652325608096e-19,-0.7702877551020411,2.4121843768554165e-25,tumor_vs_adjacent_paired,False,True,True,True
ARRB1,-0.436913566474591,6.12841460884012e-19,-0.8926948979591831,5.216059373300817e-20,tumor_vs_adjacent_paired,False,True,True,True
HNRNPM,0.396535243630557,2.46456304450055e-18,-0.1597408163265292,0.0009980653973295,tumor_vs_adjacent_paired,False,False,False,True
SORCS1,-0.515690297415836,3.45648358930394e-18,-0.4943979591836731,4.9588334081032105e-17,tumor_vs_adjacent_paired,True,False,True,True
DYNC1LI2,-0.501199614171238,5.83150748261889e-17,-0.499863775510204,8.790965881202554e-17,tumor_vs_adjacent_paired,True,False,True,True
ZNF182,0.496823887974376,3.41464898133219e-16,0.5003204081632648,3.950824565852397e-16,tumor_vs_adjacent_paired,False,True,True,True
G2E3,0.499410648738479,6.6157976862591e-16,0.5010632653061222,1.2900163122239408e-15,tumor_vs_adjacent_paired,False,True,True,True
NENF,0.500395685256214,1.1745024495615202e-15,0.4996438775510228,2.043476416375456e-15,tumor_vs_adjacent_paired,True,False,True,True
