gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,reference_model,adjusted_model,effect_difference,effect_direction_agreement,significance_retained
FLRT1,0.509623149965373,2.68434814337181e-05,0.487984853443888,0.0002341535491721,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.021638296521484968,True,False
PLCL1,0.508718247672246,4.22003214894676e-05,0.457677584168497,0.0007131248694294,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.05104066350374903,True,False
DNAJC22,-0.507752113900591,4.5106901063057e-05,-0.451871447976513,0.0008476277603228,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.05588066592407803,True,False
UBE2T,-0.501822934943327,5.54005918022094e-05,-0.435010544667932,0.0012824873773121,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06681239027539498,True,False
BTG2,0.572412426042466,7.11782881800303e-05,0.479336965678445,0.002157769259038,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.09307546036402098,True,False
NXPE1,-0.585098702425199,7.6530546671969e-05,-0.471920474849968,0.0031311933585001,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.113178227575231,True,False
CENPK,-0.56387253666792,8.01014208040725e-05,-0.496789710130176,0.0014280638157184,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06708282653774406,True,False
ANOS1,0.605881122525542,9.47059355380647e-05,0.335970808194369,0.0001765310953372,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.2699103143311731,True,False
PAPSS2,-0.508213346471392,0.0001027843384014,-0.488819910699351,0.0006232565168965,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.019393435772041057,True,False
IL17RB,-0.512262970470234,0.0001491103671644,-0.475253237541264,0.0012428061750725,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.037009732928969974,True,False
FBXL22,0.550467546216825,0.0001596573633821,0.489580746017964,0.0020943971910073,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06088680019886106,True,False
CHI3L1,0.540249110337893,0.0001622952522057,0.493589133134881,0.0014983900490244,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.046659977203012015,True,False
DNAJB5,0.506990533114597,0.0002334403252848,0.44171907711679,0.0033132300362842,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06527145599780698,True,False
TOP2A,-0.532601618020989,0.0002654660640073,-0.491282809793139,0.0020997989746712,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.04131880822785006,True,False
VGLL3,0.500863085580549,0.0002909742593372,0.436858558361563,0.0038086932692987,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06400452721898603,True,False
BEND5,0.510556086305956,0.0002928888886682,0.466354413842174,0.0025170641143338,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.04420167246378193,True,False
AGR3,-0.565605652733499,0.000355889349441,-0.486731814476301,0.004892483051783,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.07887383825719807,True,False
CDKN2B-AS1,-0.551502423085227,0.0004037220078942,-0.484553584753214,0.0042704401325635,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06694883833201304,True,False
KLF5,-0.502530580478342,0.0004596779343677,-0.455561788271726,0.0037323042166722,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.046968792206615984,True,False
ITGA1,0.555048053875069,0.0004833867657152,0.456047845081097,0.0083219540412142,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.09900020879397192,True,False
SERINC2,-0.500421204542119,0.000500222097672,-0.433162821275919,0.0057777388983742,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06725838326620004,True,False
BLVRA,0.527533164134364,0.0005216682304866,0.432045401574133,0.0091325940962738,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.095487762560231,True,False
ARHGEF26,0.559126613524976,0.0006013804576591,0.499110856545959,0.0051848913909765,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.060015756979016954,True,False
DDX3Y,1.11986320987612,0.000683192048825,0.452562952500839,1.65187688574551e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.6673002573752811,True,False
