gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
S100A9,,1.7808551020408163,0.2107786947371749,8.448933153615965,2.95659034906917e-13,1.182884644805148e-12,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100B,,-1.0067755102040818,0.1171201704571923,-8.596089864572559,1.4296972391135392e-13,5.856591099983172e-13,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S100G,,0.0007714285714279,0.0289906638482802,0.0266095518014273,0.9788258225809576,0.9831739766194292,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100P,,1.923342857142856,0.1924511482656223,9.99392767710716,1.381775249579955e-16,7.164760553377544e-16,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100PBP,,0.2782244897959183,0.0493504406265022,5.637730611193482,1.693885137717617e-07,4.319214279113891e-07,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S100Z,,-0.035776530612245,0.0191213185712398,-1.8710284271951816,0.0643553540042501,0.0879630969304323,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S1PR1,,-0.8738591836734697,0.1035919951124178,-8.435585999913979,3.157755662729612e-13,1.2607185535410318e-12,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S1PR2,,-0.1291903061224495,0.0629530784271237,-2.052168207659669,0.0428473275815349,0.0605651905829566,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S1PR3,,0.3361326530612247,0.1276907120670555,2.6323970445454767,0.0098657635055209,0.0154324792265132,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
S1PR4,,-0.1577316326530606,0.0321074753913898,-4.912613985693791,3.644753774096541e-06,8.27622085376245e-06,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
S1PR5,,0.021658163265307,0.0345370550194438,0.6270993069071141,0.5320674361908342,0.5886440432930554,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAA1,,0.5154785714285719,0.2089445610701041,2.467059055227672,0.0153759966022295,0.0233478726618111,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAA2,,0.3336275510204078,0.0612505414134366,5.446932277193223,3.8742609995299413e-07,9.57750317203974e-07,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAA3P,,-0.0066428571428573,0.0218901053343879,-0.3034639185779381,0.7621862739710527,0.79868060849801,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SAA4,,0.1947142857142854,0.0539665769385783,3.6080532944659134,0.0004899841083884,0.0009018170540082,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAAL1,,0.7254622448979582,0.0589887895919938,12.298307015888003,1.6546350395658225e-21,1.2991443774570416e-20,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAC3D1,,0.4649265306122458,0.0593294396405377,7.836354656796328,5.9663798742249614e-12,2.1576424084566618e-11,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SACM1L,,-0.0265704081632649,0.0340570885619329,-0.7801726244140601,0.4371888947775912,0.4967973337236046,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SACS,,0.4531459183673458,0.1149245265392469,3.9429870369106697,0.0001520279914286,0.0002959121812309,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAE1,,0.6806556122448963,0.0619338075480664,10.990049525320162,9.9181585680314e-19,6.115341293242158e-18,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAFB,,0.3139698979591845,0.0376325103274698,8.343049539536066,4.982107258600533e-13,1.957880747239508e-12,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAFB2,,0.1923397959183668,0.0629149487968966,3.0571398307782567,0.0028873718287463,0.0048449422419432,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAG,,0.0274561224489793,0.0325141080277817,0.8444372032448083,0.4005030243080024,0.4606486397743365,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SAGE1,,-0.0532387755102039,0.0260376802020925,-2.044681979999331,0.043595304769493,0.0615083069885993,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SALL1,,-0.0868979591836738,0.0585164025618181,-1.4850188217204974,0.1407815041621745,0.1802972919383738,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SALL2,,-0.0793714285714286,0.0192412747692135,-4.12506081449576,7.83171700741658e-05,0.0001572123266433,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SALL3,,-0.0176984693877546,0.0164229698853746,-1.077665581273233,0.283855789212981,0.338698641763186,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
