"gene_symbol","entrez_id","model","contrast","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"CCDC125",202243,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0213884037821484,0.055015701854369,0.389656190305869,0.697361685054233,0.813160785165779,3.01147946518076,-0.0870990179419262,0.129875825506223,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"TMEM179",388021,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0172983257830433,0.0442838333177423,0.389650839067104,0.697365633876353,0.813160785165779,2.34637525551179,-0.0704443854680698,0.105041037034156,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"OR52B6",340980,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.018654258811773,0.0478576048705634,-0.389572194313996,0.697423668896983,0.813177174795385,2.64718380022976,-0.11329380303696,0.075985285413414,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"SEL1L2",80343,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0209049698437715,0.0538116569381656,-0.389215077465469,0.697687221797298,0.813433175549029,2.38489819929042,-0.127060465749101,0.0852505260615582,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"GNAQ",2776,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0236174865246776,0.0609762337694163,-0.388845339681835,0.697960127796363,0.813700048105595,7.58213425302413,-0.14366118620955,0.0964262131601951,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"PLP2",5355,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0260533328451,0.0673815194555538,-0.38868159040761,0.698081004873307,0.81378965891857,10.4754650871926,-0.158533818191758,0.106427152501558,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"DNAJC2",27000,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.019408175053906,0.049979141005804,0.388486370282739,0.698225123337488,0.813906350429338,7.75595465466427,-0.0793314577696096,0.118147807877422,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ANKRD40",91369,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0194549018426372,0.0501208983214129,-0.388343652840918,0.698330489403979,0.813977857219918,5.3137473097746,-0.118468632980826,0.079558829295552,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"PI4K2A",55361,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.016018924625403,0.0410726440508551,0.388192725359511,0.698441923205516,0.814056427135022,4.64481466868185,-0.0655394494238927,0.0975772986746987,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"OR51L1",119682,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0164599929704259,0.0422619937066289,-0.387992261204697,0.69858994141331,0.814177624754623,2.67066042174054,-0.100307311026158,0.0673873250853059,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"TNPO3",23534,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0239637747047866,0.0620344115404834,0.38791118468677,0.698649809773614,0.814196078577721,6.62910932569854,-0.0981333733551523,0.146060922764726,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"RHD",6007,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.00905404350708818,0.0224362391041681,-0.387677362439015,0.698822478936392,0.81434597816436,2.22189545764379,-0.05521286677101,0.0371047797568336,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ZBTB8A",653121,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0211834758244601,0.0547746888999713,0.387590711456833,0.698886471510687,0.814369224743673,5.58192606151636,-0.0868370916599354,0.129204043308856,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"PAQR7",164091,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0119124273496012,0.0302024854857749,0.387470514821199,0.698975241448109,0.814421338104199,2.57845727164138,-0.04885127098603,0.0726761256852324,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ACAD9",28976,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0240356293263168,0.06237173576838,0.386999190326931,0.699323373218106,0.81477562512935,4.52727022688723,-0.098716217566299,0.146787476218933,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
