gene_symbol,u0_log2fc,u0_fdr,u1_log2fc,u1_fdr,u2_log2fc,u2_fdr,qc_log2fc,qc_fdr,deposited_log2fc,deposited_fdr,sample_direction_consistency,subgroups_tested,subgroup_labels,subgroup_sign_agreement_fraction,subgroup_effect_min,subgroup_effect_max,major_demographic_subgroup_dependence,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,u0_screen,u1_adjusted_support,u2_location_support,qc_robust,unadjusted_adjusted_sign_agreement,location_adjusted_sign_agreement,qc_sign_agreement,deposited_support,direction_consistent,high_direction_consistency,subgroup_robust,evidence_score,evidence_tier,composition_adjusted_log2fc,composition_adjusted_fdr,composition_robust
TNC,1.83008785987495,1.88118671174266e-09,1.66307955027192,3.35242125224733e-07,1.63359397630497,6.77990743380607e-07,1.67450055436243,2.97527202937568e-07,1.82960736734694,2.96887354353751e-14,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.43289435319967,2.17755558233128,False,2.96821517839819,4.79830303827313,5.12268409384915,1.83008785987495,0.324381055576015,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.87786682346371,Tier 1 - high-confidence,-0.0799595333374807,0.850199149921883,False
NLN,-1.32853362550618,8.09408284662365e-16,-1.20651271777751,2.5998294693142997e-12,-1.14775522822283,8.69202577123068e-12,-1.21545874060704,1.8727481180727e-12,-1.32997604081633,1.2409255282422801e-17,0.959183673469388,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.37069721983968,-1.16488064760396,False,7.56574140536642,6.23720777986025,5.33130982771686,-1.32853362550617,-0.905897952143385,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.877384684178198,Tier 1 - high-confidence,-0.62837707401293,0.000606048788361,True
SERPINE2,1.22904465741958,2.0536545578749e-14,1.20988009170369,2.39806186933707e-12,1.17736943166018,8.38284101476815e-12,1.21788326522257,1.86894743858311e-12,1.22779034693878,1.21707738060068e-13,0.948979591836735,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,0.97686313373647,1.43945789335109,False,5.4215945276754,6.65063918509498,7.58066095827591,1.22904465741958,0.930021773180926,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.876418088358471,Tier 1 - high-confidence,0.449005589917407,0.0092795318408106,False
NDRG1,-1.08808029629634,4.31021708449578e-14,-1.10545996041381,1.15440314407782e-12,-1.01131513254962,6.13395969044297e-13,-1.1062545082268,1.3856741410174899e-12,-1.08897679591837,1.53712247736926e-11,0.969387755102041,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.28501412801964,-0.876959033742214,False,5.29495550606516,4.20687520976882,3.56771440432862,-1.08808029629634,-0.639160805440204,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.874142837180485,Tier 1 - high-confidence,-0.790836191325518,1.16471038485891e-05,True
TIMP1,1.35450481158201,9.02045627472352e-14,1.3093994966137,1.69303081872107e-11,1.231540743991,5.0066680506829094e-11,1.33416030390506,2.61204847273793e-12,1.35243775510204,2.4675046727204203e-15,0.918367346938776,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.09520012155145,1.53068716044244,False,6.25099829391073,7.60550310549274,9.77230758979904,1.35450481158201,2.1668044843063,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.873090550293898,Tier 1 - high-confidence,0.297622194669298,0.0758088951499701,False
ADAMDEC1,-1.60895822018746,2.82477506357252e-12,-1.46423401808575,1.93855282858222e-09,-1.50531947013876,8.75474859431482e-10,-1.44742690308381,2.51104508943296e-09,-1.60980616326531,2.20536696683437e-17,0.928571428571429,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.79714215169203,-1.43051403366245,False,9.06010160752491,7.45114338733745,5.14622138294231,-1.60895822018746,-2.30492200439514,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.870902079368435,Tier 1 - high-confidence,-1.34911779643765,5.16173908451548e-07,True
CAMTA1,1.09185144303422,3.5495918924562804e-15,1.06425613982943,8.11011184440506e-13,1.03285037854329,2.93850149564963e-12,1.071183878883,6.27328848148502e-13,1.09325314285714,2.02150686425392e-21,0.959183673469388,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.01851645056592,1.12187250911474,False,3.00546813430293,4.09731957733716,5.38322456753797,1.09185144303422,1.28590499020081,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.870837200172781,Tier 1 - high-confidence,0.322963335874022,0.0185237511189388,False
SEMA3A,1.35148319882778,1.78316287248643e-13,1.23945338172942,1.72702037757205e-10,1.23606953324348,3.00968211985275e-10,1.25130336291538,1.11993592922959e-10,1.35038528571429,5.19292192150264e-19,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.14589877468121,1.53030684998984,False,3.79487171611158,5.14635491493936,5.77374166288554,1.35148319882778,0.627386747946188,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.869636236357389,Tier 1 - high-confidence,0.374236277917958,0.0698767896062688,False
SOCS3,1.11984967999702,1.0878346693595e-15,1.02897510177136,2.25920807021274e-12,1.0447911838087,1.7105458353950598e-12,1.0348104357498,1.91378898975122e-12,1.11856028571429,4.38816506239148e-22,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,0.86942747852995,1.26214936245959,False,2.47629608058315,3.59614576058017,3.94257794838067,1.11984967999702,0.346432187800498,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.869512236816603,Tier 1 - high-confidence,0.47991844965735,0.0018394366489503,False
FILIP1L,1.36830661115752,2.63382185386836e-12,1.31041880761592,3.8428862745354503e-10,1.27961510188007,1.1194611477890502e-09,1.31354411271595,4.11686273521695e-10,1.37468755102041,1.76582808431777e-17,0.928571428571429,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.09590964841408,1.47297994401097,False,4.49939362423795,5.86770023539547,5.99295883737657,1.36830661115752,0.125258601981104,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.864935422252436,Tier 1 - high-confidence,0.208926543790406,0.310539795902073,False
