gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
TAC1,,2.960697102040817,0.16774713153434404,17.64976291969948,4.527583439112215e-35,1.2677233629514202e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.545258,5.505955102040817,4.18464693877551,2.960697102040817,-1.3213081632653072,adjacent_specific,0.15
SEMA3G,,0.8739566938775511,0.052468838873662424,16.656680663010587,5.521568707073e-35,1.501866688323856e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9693877551020408,2.7820529999999994,3.6560096938775506,2.9428311224489794,0.8739566938775511,-0.7131785714285712,adjacent_specific,0.15
LYPLA1,,-1.0419365714285673,0.06030243211048208,-17.278516553355608,5.491764821357925e-35,1.501866688323856e-32,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t,1.0,7.858482999999999,6.8165464285714314,7.47277295918367,-1.0419365714285673,0.6562265306122388,adjacent_specific,0.15
TMTC1,,1.7763074285714304,0.10791697093018343,16.459945208438135,1.0551373878656055e-34,2.829551530276215e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,3.9539639999999996,5.73027142857143,4.323608163265307,1.7763074285714304,-1.4066632653061228,adjacent_specific,0.15
FKBP10,,1.2974432653061223,0.07955962918715465,16.307809357105477,1.202690373106857e-34,3.168576984331907e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,4.226919999999999,5.524363265306121,7.156696938775512,1.2974432653061223,1.6323336734693905,monotonic_up,0.15
RGS1,,1.1874663469387774,0.07193371556531897,16.507785502342166,1.214843066471792e-34,3.168576984331907e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.138651,4.326117346938777,4.0555668367346955,1.1874663469387774,-0.2705505102040817,non_monotonic,0.15
NUDT16L1,,-0.6034611224489783,0.036612884017457534,-16.48220670519262,1.3082839767812695e-34,3.366179313231807e-32,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t,1.0,7.1090800000000005,6.505618877551022,6.426203571428574,-0.6034611224489783,-0.07941530612244829,field_shift_then_plateau,0.15
PECAM1,,1.408307081632648,0.08343256220376337,16.879585672955923,1.6256553285863104e-34,4.126996994171114e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,5.783797000000003,7.192104081632651,6.718460714285717,1.408307081632648,-0.47364336734693424,non_monotonic,0.15
RBMS3,,1.3824974693877565,0.0835027592957366,16.55630881000531,1.993343198415744e-34,4.993849276031022e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.267426,4.6499234693877565,3.5856816326530603,1.3824974693877565,-1.0642418367346962,adjacent_specific,0.15
LDB2,,1.2373115918367361,0.07647936110039358,16.178372492057452,2.4027429042672908e-34,5.941327908733663e-32,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.592267999999999,4.829579591836735,4.2240306122448965,1.2373115918367361,-0.6055489795918385,adjacent_specific,0.15
