probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715260_at,METTL25B,51093.0,1,1,mapped_unique,GSE44076
11715261_s_at,HNRNPCL2,440563.0,2,2,ambiguous,GSE44076
11715261_s_at,HNRNPCL3,649330.0,2,2,ambiguous,GSE44076
11715262_at,MTNR1A,4543.0,1,1,mapped_unique,GSE44076
11715263_at,SPEF2,79925.0,1,1,mapped_unique,GSE44076
11715264_s_at,UTS2R,2837.0,1,1,mapped_unique,GSE44076
11715265_at,FIG4,9896.0,1,1,mapped_unique,GSE44076
11715266_s_at,PKD1L3,342372.0,1,1,mapped_unique,GSE44076
11715267_s_at,EPPK1,83481.0,1,1,mapped_unique,GSE44076
11715268_s_at,GP1BB,2812.0,3,3,ambiguous,GSE44076
11715268_s_at,SEPT5-GP1BB,100526833.0,3,3,ambiguous,GSE44076
11715268_s_at,SEPTIN5,5413.0,3,3,ambiguous,GSE44076
11715269_x_at,ALG1L1P,200810.0,1,1,mapped_unique,GSE44076
11715270_s_at,KLF7,8609.0,1,1,mapped_unique,GSE44076
11715271_s_at,DBET,100419743.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4,100288687.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L1,22947.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L2,728410.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L24,102723449.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L3,653548.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L4,441056.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L5,653545.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L6,653544.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L7,653543.0,11,11,ambiguous,GSE44076
11715271_s_at,DUX4L8,26583.0,11,11,ambiguous,GSE44076
11715272_s_at,UGT2B11,10720.0,1,1,mapped_unique,GSE44076
11715273_at,TPM2,7169.0,1,1,mapped_unique,GSE44076
11715274_x_at,TPM2,7169.0,1,1,mapped_unique,GSE44076
11715275_s_at,SSX1,6756.0,1,1,mapped_unique,GSE44076
11715276_s_at,AURKAIP1,54998.0,1,1,mapped_unique,GSE44076
11715277_s_at,AURKAIP1,54998.0,1,1,mapped_unique,GSE44076
11715278_s_at,AURKAIP1,54998.0,1,1,mapped_unique,GSE44076
11715279_x_at,PGAM4,441531.0,1,1,mapped_unique,GSE44076
11715280_s_at,JUP,3728.0,2,2,ambiguous,GSE44076
