"accession","archive","member","gsm","extracted_path","compressed_cel_readable","metadata_match"
"GSE41258","GSE41258_RAW.tar","GSM1012368_05786AR2.CEL.gz","GSM1012368","data/interim/cel/GSE41258/GSM1012368_05786AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012369_05786hr3.CEL.gz","GSM1012369","data/interim/cel/GSE41258/GSM1012369_05786hr3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012370_05839AR2.CEL.gz","GSM1012370","data/interim/cel/GSE41258/GSM1012370_05839AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012371_05885AR2.CEL.gz","GSM1012371","data/interim/cel/GSE41258/GSM1012371_05885AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012372_05969VR1.CEL.gz","GSM1012372","data/interim/cel/GSE41258/GSM1012372_05969VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012373_06051AR2.CEL.gz","GSM1012373","data/interim/cel/GSE41258/GSM1012373_06051AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012374_06220AR2.CEL.gz","GSM1012374","data/interim/cel/GSE41258/GSM1012374_06220AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012375_06265AR2.CEL.gz","GSM1012375","data/interim/cel/GSE41258/GSM1012375_06265AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012376_06314AR2.CEL.gz","GSM1012376","data/interim/cel/GSE41258/GSM1012376_06314AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012377_06432VR1.CEL.gz","GSM1012377","data/interim/cel/GSE41258/GSM1012377_06432VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012378_06572BR1.CEL.gz","GSM1012378","data/interim/cel/GSE41258/GSM1012378_06572BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012379_06657AR2.CEL.gz","GSM1012379","data/interim/cel/GSE41258/GSM1012379_06657AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012380_06657HR3.CEL.gz","GSM1012380","data/interim/cel/GSE41258/GSM1012380_06657HR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012381_06706AR2.CEL.gz","GSM1012381","data/interim/cel/GSE41258/GSM1012381_06706AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012382_06764MR3.CEL.gz","GSM1012382","data/interim/cel/GSE41258/GSM1012382_06764MR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012383_06764VR1.CEL.gz","GSM1012383","data/interim/cel/GSE41258/GSM1012383_06764VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012384_06840AR2.CEL.gz","GSM1012384","data/interim/cel/GSE41258/GSM1012384_06840AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012385_06997AR3.CEL.gz","GSM1012385","data/interim/cel/GSE41258/GSM1012385_06997AR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012386_07061AR2.CEL.gz","GSM1012386","data/interim/cel/GSE41258/GSM1012386_07061AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012387_07145AR2.CEL.gz","GSM1012387","data/interim/cel/GSE41258/GSM1012387_07145AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012388_07392BR2.CEL.gz","GSM1012388","data/interim/cel/GSE41258/GSM1012388_07392BR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012389_07427AR2.CEL.gz","GSM1012389","data/interim/cel/GSE41258/GSM1012389_07427AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012390_07445VR1.CEL.gz","GSM1012390","data/interim/cel/GSE41258/GSM1012390_07445VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012391_07576AR2.CEL.gz","GSM1012391","data/interim/cel/GSE41258/GSM1012391_07576AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012392_07632AR2.CEL.gz","GSM1012392","data/interim/cel/GSE41258/GSM1012392_07632AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012393_07662AR2.CEL.gz","GSM1012393","data/interim/cel/GSE41258/GSM1012393_07662AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012394_07677BR1.CEL.gz","GSM1012394","data/interim/cel/GSE41258/GSM1012394_07677BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012395_07721AR2.CEL.gz","GSM1012395","data/interim/cel/GSE41258/GSM1012395_07721AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012396_07925AR2.CEL.gz","GSM1012396","data/interim/cel/GSE41258/GSM1012396_07925AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012397_07930AR2.CEL.gz","GSM1012397","data/interim/cel/GSE41258/GSM1012397_07930AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012398_07973AR2.CEL.gz","GSM1012398","data/interim/cel/GSE41258/GSM1012398_07973AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012399_08018AR2.CEL.gz","GSM1012399","data/interim/cel/GSE41258/GSM1012399_08018AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012400_08029AR2.CEL.gz","GSM1012400","data/interim/cel/GSE41258/GSM1012400_08029AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012401_08061AR2.CEL.gz","GSM1012401","data/interim/cel/GSE41258/GSM1012401_08061AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012402_08070BR1.CEL.gz","GSM1012402","data/interim/cel/GSE41258/GSM1012402_08070BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012403_08088MR1.CEL.gz","GSM1012403","data/interim/cel/GSE41258/GSM1012403_08088MR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012404_08088VR1.CEL.gz","GSM1012404","data/interim/cel/GSE41258/GSM1012404_08088VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012405_08168AR2.CEL.gz","GSM1012405","data/interim/cel/GSE41258/GSM1012405_08168AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012406_08568BR1.CEL.gz","GSM1012406","data/interim/cel/GSE41258/GSM1012406_08568BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012407_08792AR2.CEL.gz","GSM1012407","data/interim/cel/GSE41258/GSM1012407_08792AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012408_09054AR2.CEL.gz","GSM1012408","data/interim/cel/GSE41258/GSM1012408_09054AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012409_09077AR2.CEL.gz","GSM1012409","data/interim/cel/GSE41258/GSM1012409_09077AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012410_09185AR2.CEL.gz","GSM1012410","data/interim/cel/GSE41258/GSM1012410_09185AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012411_09297AR2.CEL.gz","GSM1012411","data/interim/cel/GSE41258/GSM1012411_09297AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012412_09343AR2.CEL.gz","GSM1012412","data/interim/cel/GSE41258/GSM1012412_09343AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012413_09394AR2.CEL.gz","GSM1012413","data/interim/cel/GSE41258/GSM1012413_09394AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012414_09420AR2.CEL.gz","GSM1012414","data/interim/cel/GSE41258/GSM1012414_09420AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012415_09446BR2.CEL.gz","GSM1012415","data/interim/cel/GSE41258/GSM1012415_09446BR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012416_09468AR2.CEL.gz","GSM1012416","data/interim/cel/GSE41258/GSM1012416_09468AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012417_09518BR3.CEL.gz","GSM1012417","data/interim/cel/GSE41258/GSM1012417_09518BR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012418_09518UR2.CEL.gz","GSM1012418","data/interim/cel/GSE41258/GSM1012418_09518UR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012419_09728AR2.CEL.gz","GSM1012419","data/interim/cel/GSE41258/GSM1012419_09728AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012420_09728BR2.CEL.gz","GSM1012420","data/interim/cel/GSE41258/GSM1012420_09728BR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012421_09811AR2.CEL.gz","GSM1012421","data/interim/cel/GSE41258/GSM1012421_09811AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012422_10078BR1.CEL.gz","GSM1012422","data/interim/cel/GSE41258/GSM1012422_10078BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012423_10194AR2.CEL.gz","GSM1012423","data/interim/cel/GSE41258/GSM1012423_10194AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012424_10216AR3.CEL.gz","GSM1012424","data/interim/cel/GSE41258/GSM1012424_10216AR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012425_10258VR1.CEL.gz","GSM1012425","data/interim/cel/GSE41258/GSM1012425_10258VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012426_10264AR3.CEL.gz","GSM1012426","data/interim/cel/GSE41258/GSM1012426_10264AR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012427_10368AR3.CEL.gz","GSM1012427","data/interim/cel/GSE41258/GSM1012427_10368AR3.CEL.gz",TRUE,TRUE
