"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"11715324_s_at","PPIAL4E","730262",5,5,"ambiguous"
"11715324_s_at","PPIAL4F","728945",5,5,"ambiguous"
"11715324_s_at","PPIAL4G","644591",5,5,"ambiguous"
"11715325_at","VSTM5","387804",1,1,"mapped_unique"
"11715326_s_at","VSTM5","387804",1,1,"mapped_unique"
"11715327_x_at","ZNG1A","55871",2,2,"ambiguous"
"11715327_x_at","ZNG1C","445571",2,2,"ambiguous"
"11715328_at","SPATA31D3","389762",1,1,"mapped_unique"
"11715329_at","SLC6A15","55117",1,1,"mapped_unique"
"11715330_x_at","ZNF735","730291",1,1,"mapped_unique"
"11715331_x_at","DSN1","79980",1,1,"mapped_unique"
"11715332_at","NXNL2","158046",1,1,"mapped_unique"
"11715333_s_at","NXNL2","158046",1,1,"mapped_unique"
"11715334_s_at","NXNL2","158046",1,1,"mapped_unique"
"11715335_at","OR6P1","128366",1,1,"mapped_unique"
"11715336_x_at","SP9","100131390",1,1,"mapped_unique"
"11715337_s_at","GH1","2688",2,2,"ambiguous"
"11715337_s_at","GH2","2689",2,2,"ambiguous"
"11715338_s_at","DCAF12L2","340578",1,1,"mapped_unique"
"11715339_at","TTN","7273",1,1,"mapped_unique"
"11715340_s_at","CT47A1","728096",13,13,"ambiguous"
"11715340_s_at","CT47A10","728036",13,13,"ambiguous"
"11715340_s_at","CT47A11","255313",13,13,"ambiguous"
"11715340_s_at","CT47A12","100507170",13,13,"ambiguous"
"11715340_s_at","CT47A2","728090",13,13,"ambiguous"
"11715340_s_at","CT47A3","728082",13,13,"ambiguous"
"11715340_s_at","CT47A4","728075",13,13,"ambiguous"
"11715340_s_at","CT47A5","728072",13,13,"ambiguous"
"11715340_s_at","CT47A6","728062",13,13,"ambiguous"
"11715340_s_at","CT47A7","653282",13,13,"ambiguous"
"11715340_s_at","CT47A8","728049",13,13,"ambiguous"
"11715340_s_at","CT47A9","728042",13,13,"ambiguous"
"11715340_s_at","CT47B1","643311",13,13,"ambiguous"
"11715341_at","MROH9","80133",1,1,"mapped_unique"
"11715342_at","BRI3","25798",1,1,"mapped_unique"
"11715343_at","MUC16","94025",1,1,"mapped_unique"
"11715344_at","GSTP1","2950",1,1,"mapped_unique"
"11715345_s_at","ADAMTS15","170689",1,1,"mapped_unique"
"11715346_at","EBI3","10148",1,1,"mapped_unique"
"11715347_s_at","HBB","3043",1,1,"mapped_unique"
"11715348_x_at","HBB","3043",1,1,"mapped_unique"
"11715349_a_at","COX7C","1350",1,1,"mapped_unique"
"11715350_a_at","COL1A1","1277",1,1,"mapped_unique"
"11715351_at","COL1A1","1277",1,1,"mapped_unique"
"11715352_x_at","COL1A1","1277",1,1,"mapped_unique"
"11715353_s_at","COL1A2","1278",1,1,"mapped_unique"
"11715354_a_at","COL1A2","1278",1,1,"mapped_unique"
"11715355_at","COL1A2","1278",1,1,"mapped_unique"
"11715356_x_at","COL1A2","1278",1,1,"mapped_unique"
"11715357_s_at","RPS21","6227",1,1,"mapped_unique"
"11715358_x_at","CST3","1471",1,1,"mapped_unique"
"11715359_a_at","TIMP1","7076",1,1,"mapped_unique"
"11715360_x_at","TIMP1","7076",1,1,"mapped_unique"
"11715361_a_at","ATP6V0E1","8992",1,1,"mapped_unique"
"11715362_at","ATP6V0E1","8992",1,1,"mapped_unique"
"11715363_a_at","A2M","2",1,1,"mapped_unique"
"11715364_a_at","SPDEF","25803",1,1,"mapped_unique"
"11715365_x_at","SPDEF","25803",1,1,"mapped_unique"
"11715366_a_at","SEPTIN2","4735",1,1,"mapped_unique"
"11715367_s_at","SEPTIN2","4735",1,1,"mapped_unique"
"11715368_a_at","SERPING1","710",1,1,"mapped_unique"
"11715369_s_at","NDUFA4","4697",1,1,"mapped_unique"
"11715370_s_at","LGALS3BP","3959",1,1,"mapped_unique"
"11715371_a_at","UBA1","7317",1,1,"mapped_unique"
"11715372_a_at","MDH1","4190",1,1,"mapped_unique"
